Customer_ID,Gender,Age,Married,Number_of_Dependents,City,Zip_Code,Latitude,Longitude,Number_of_Referrals,Tenure_in_Months,Offer,Home_Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Customer_Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Customer_Status,Churn_Category,Churn_Reason,Recurring_Monthly_Revenue,RunningRecurringMonthlyRevenue
0164-APGRB,Female,56,No,0,Calistoga,94515,38.629618,-122.593216,0,72,Offer A,Yes,48.37,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,114.9,8496.7,0,0,3482.64,11979.34,Stayed,NULL,NULL,166.3797222,357.0797222
8263-QMNTJ,Male,46,Yes,0,San Francisco,94104,37.791222,-122.402241,2,72,Offer A,Yes,47.82,Yes,Yes,Fiber Optic,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115.55,8425.3,0,0,3443.04,11868.34,Stayed,NULL,NULL,164.8380556,687.9077778
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34.044271,-118.185237,9,66,None,Yes,43.77,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942.15,0,0,2888.82,10830.97,Stayed,NULL,NULL,164.1056061,1016.122759
5451-YHYPW,Female,75,Yes,0,San Francisco,94129,37.797526,-122.464531,2,72,Offer A,Yes,44.89,Yes,Yes,Fiber Optic,24,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,115.75,8443.7,0,120,3232.08,11795.78,Stayed,NULL,NULL,163.8302778,1179.953037
4176-FXYBO,Male,35,Yes,0,Whittier,90603,33.945318,-117.992066,9,54,Offer B,Yes,49.9,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,109.55,6118.95,0,0,2694.6,8813.55,Stayed,NULL,NULL,163.2138889,1343.166926
0442-ZXKVS,Female,79,Yes,0,Denair,95316,37.524721,-120.757977,2,54,Offer B,Yes,43.71,Yes,Yes,Fiber Optic,12,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,115.6,6431.05,0,0,2360.34,8791.39,Stayed,NULL,NULL,162.8035185,1505.970444
9835-ZIITK,Male,66,Yes,0,Campbell,95008,37.279689,-121.954567,1,66,None,Yes,48.87,Yes,Yes,Fiber Optic,13,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,110.85,7491.75,0,0,3225.42,10717.17,Churned,Competitor,Competitor made better offer,162.3813636,1668.351808
3810-DVDQQ,Female,28,Yes,1,Shasta Lake,96019,40.692523,-122.369876,10,72,None,Yes,47.02,Yes,Yes,Fiber Optic,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,117.6,8308.9,5.44,0,3385.44,11688.9,Stayed,NULL,NULL,162.3458333,1830.697641
5236-PERKL,Female,38,No,0,Pearblossom,93553,34.445239,-117.894868,0,57,None,Yes,48.86,Yes,Yes,Fiber Optic,6,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,112.95,6465,0,0,2785.02,9250.02,Churned,Competitor,Competitor offered higher download speeds,162.2810526,1992.978694
7923-IYJWY,Male,68,No,0,Twain Harte,95383,38.107441,-120.230625,0,67,None,Yes,44.56,Yes,Yes,Fiber Optic,29,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Two Year,Yes,Credit Card,116.1,7839.85,0,40,2985.52,10865.37,Stayed,NULL,NULL,162.1697015,2155.148395
